freq	dB(S(1,2))
5.82470636112500006E9	-1.29893484222300470E-1
5.82537615706249845E9	-1.25907120697085229E-1
5.82604595299999950E9	-1.22126179431560367E-1
5.82716227962500088E9	-1.16161679035370469E-1
5.82827860624999960E9	-1.11172145707307135E-1
5.82939493287500010E9	-1.07115270506983795E-1
5.83051125950000060E9	-1.03864509272832173E-1
5.83162758612499843E9	-1.01276709071987936E-1
5.83274391275000070E9	-9.92218480486605436E-2
5.83386023937500031E9	-9.75923051160704880E-2
5.83497656600000170E9	-9.63029808211419791E-2
5.83683711025000029E9	-9.47388417661151827E-2
5.83869765450000067E9	-9.37289321063902570E-2
5.84055819874999838E9	-9.31397672764756734E-2
5.84241874299999964E9	-9.28915470908441243E-2
5.84474442343750056E9	-9.29977004135562879E-2
5.84707010387500059E9	-9.35436634218637764E-2
5.84939578431249974E9	-9.45480322417777330E-2
5.85172146475000154E9	-9.60537231125850255E-2
5.85404714518749891E9	-9.80740427629817901E-2
5.85637282562500072E9	-1.00444454498361790E-1
5.85869850606249898E9	-1.02519135753948643E-1
5.86102418650000168E9	-1.02949736022963245E-1
5.86334986693749993E9	-1.00485119953984503E-1
5.86567554737499908E9	-9.58112913546564826E-2
5.86800122781250089E9	-9.11834484257531841E-2
5.87032690825000003E9	-8.78700772573653843E-2
5.87265258868749918E9	-8.57819526304967717E-2
5.87497826912500187E9	-8.44921985519577667E-2
5.87730394956249924E9	-8.36851885324925782E-2
5.87962963000000105E9	-8.31747519880480901E-2
5.89248971224999973E9	-8.24701019149976133E-2
5.90534979450000019E9	-8.27801696902166739E-2
5.91820987674999976E9	-8.32955732692762751E-2
5.93106995899999934E9	-8.38807774384780558E-2
5.93750000024999913E9	-8.41878787774296100E-2
5.94393004150000070E9	-8.45020715382474918E-2
5.95036008275000050E9	-8.48222394722883699E-2
5.95679012400000030E9	-8.51475637195373380E-2
5.97608024750000144E9	-8.61484048589510110E-2
5.99537037100000170E9	-8.71764683702685872E-2
6.01466049450000106E9	-8.82209926259488597E-2
6.03395061799999866E9	-8.92733013184166069E-2
6.03636188340625068E9	-8.94050722176436174E-2
6.03877314881250093E9	-8.95368814255189704E-2
6.04118441421874941E9	-8.96687403040738396E-2
6.04359567962500055E9	-8.98006742913762857E-2
6.04480131232812479E9	-8.98666835114179996E-2
6.04600694503124991E9	-8.99327326898420587E-2
6.04721257773437504E9	-8.99988346915441007E-2
6.04841821043750105E9	-9.00650069316296964E-2
6.04962384314062440E9	-9.01312728300062638E-2
6.05082947584375042E9	-9.01976632039242787E-2
6.05203510854687288E9	-9.02642164329047780E-2
6.05324074125000067E9	-9.03309752264542354E-2
6.05444637395312579E9	-9.03979788879011181E-2
6.05565200665625003E9	-9.04652551747870426E-2
6.05685763935937516E9	-9.05328179044498071E-2
6.05806327206250117E9	-9.06006648224155775E-2
6.05926890476562541E9	-9.06687598270387518E-2
6.06047453746875053E9	-9.07369991750456073E-2
6.06168017017187388E9	-9.08051904949035915E-2
6.06288580287499990E9	-9.08730893268055873E-2
6.06529706828124926E9	-9.10074821822714242E-2
6.06770833368750040E9	-9.11408421081273978E-2
6.07011959909374887E9	-9.12737765901848874E-2
6.07253086450000090E9	-9.14045539148481367E-2
6.08217592612499836E9	-9.19197060781023190E-2
6.09182098774999936E9	-9.24408529497575948E-2
6.10146604937500037E9	-9.29599427283874746E-2
6.11111111100000048E9	-9.34793760703450438E-2
6.18055555549999891E9	-9.72728918022163214E-2
6.25000000000000000E9	-1.01536399386251608E-1
6.31944444450000109E9	-1.07476137402354399E-1
