Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
1.21E+09,-23.60523,-29.21627,-13.19248,162.2157,-13.38768,160.78395,-16.88224,157.81319
1.22E+09,-23.86521,-37.72426,-13.4102,161.64172,-13.29849,157.98035,-17.02494,158.65657
1.23E+09,-23.77778,-37.94691,-13.29147,158.03392,-13.47671,155.68491,-16.93492,157.26497
1.23E+09,-23.04978,-46.27071,-13.36018,154.93694,-13.58286,154.08127,-17.49583,157.34778
1.24E+09,-22.75305,-47.33716,-13.27985,151.88753,-13.5259,150.24518,-17.70633,153.63106
1.24E+09,-22.598,-45.17857,-13.02591,148.62421,-13.29315,146.93877,-17.27554,154.58151
1.25E+09,-22.98837,-49.57791,-13.19194,144.7865,-13.37285,145.32895,-17.10134,151.10762
1.26E+09,-22.49412,-51.22477,-13.48831,144.17929,-13.47779,142.27757,-17.34527,152.84593
1.26E+09,-22.28852,-52.58272,-13.29938,140.83411,-13.46332,139.21234,-17.65766,150.94797
1.27E+09,-22.10986,-59.11096,-13.45941,138.16333,-13.49993,136.43436,-18.00159,150.44165
1.27E+09,-23.06414,-62.64318,-13.19401,134.43851,-13.48216,133.07022,-17.26834,148.42596
1.28E+09,-22.84177,-64.92191,-13.29761,131.94843,-13.44877,132.36473,-16.99717,142.85959
1.29E+09,-22.786,-69.50558,-13.18782,129.96915,-13.43168,127.71252,-17.15048,144.65471
1.29E+09,-22.60038,-66.39451,-13.43217,126.47897,-13.49314,125.2004,-17.05004,146.79308
1.30E+09,-23.03769,-72.41663,-13.39863,124.32561,-13.52868,122.60594,-17.19761,145.42641
1.30E+09,-22.71533,-73.04346,-13.40798,120.74672,-13.43565,119.95918,-16.80899,142.76291
1.31E+09,-22.87723,-77.17628,-13.24876,120.50664,-13.47464,116.37494,-17.28779,142.49313
1.32E+09,-23.40385,-85.28621,-13.45073,115.01279,-13.62019,115.78003,-17.00884,141.60233
1.32E+09,-23.04624,-81.94602,-13.33402,114.2652,-13.62319,112.12119,-16.95314,140.04744
1.33E+09,-23.65753,-84.63092,-13.45439,109.82468,-13.48024,109.21545,-16.97713,138.59018
1.33E+09,-23.68767,-89.30156,-13.23217,107.35995,-13.40962,106.13716,-17.16521,136.72328
1.34E+09,-23.51491,-92.02637,-13.35882,104.17927,-13.62593,102.1132,-17.0407,136.57457
1.35E+09,-23.41571,-95.69631,-13.35692,102.99228,-13.45594,100.30959,-17.42021,138.09567
1.35E+09,-23.83421,-96.70946,-13.3332,98.79758,-13.47532,97.13678,-17.65175,136.91869
1.36E+09,-23.52334,-98.32721,-13.31342,97.51234,-13.64664,94.73439,-17.24977,135.397
